STATE,DISTRICT,MARGIN
Maine,10,25.0
Vermont,2,25.0
Alabama,18,25.0
Pennsylvania,31,25.0
Hawaii,9,25.0
Louisiana,52,25.0
Tennessee,41,25.0
Indiana,46,25.0
Connecticut,20,25.0
South Dakota,2,25.0
Texas,10,25.0
California,2,25.0
Idaho,38,25.0
Georgia,33,25.0
Nevada,43,25.0
Kentucky,49,25.0
Guam,16,25.0
Wisconsin,43,25.0
New Hampshire,26,25.0
Arkansas,50,25.0
Ohio,36,25.0
Oregon,18,25.0
Mississippi,47,25.0
Alabama,43,25.0
Georgia,3,25.0
Alaska,13,25.0
Hawaii,45,25.0
Missouri,39,25.0
Tennessee,32,25.0
Indiana,37,25.0
Massachusetts,22,25.0
Connecticut,15,25.0
South Dakota,27,25.0
Texas,13,25.0
Delaware,50,25.0
Idaho,47,25.0
Montana,6,25.0
Vermont,28,25.0
Tennessee,14,25.0
New Mexico,49,25.0
Nevada,32,25.0
American Samoa,50,25.0
Kentucky,42,25.0
Kansas,42,25.0
New Hampshire,19,25.0
Washington,10,25.0
Oklahoma,35,25.0
Iowa,31,25.0
Oregon,29,25.0
Mississippi,38,25.0
Alabama,32,25.0
Georgia,10,25.0
Missouri,46,25.0
Alaska,22,25.0
Louisiana,6,25.0
Tennessee,39,25.0
North Dakota,35,25.0
Nebraska,20,25.0
South Dakota,28,25.0
Montana,13,25.0
Texas,20,25.0
Arizona,19,25.0
Nebraska,31,25.0
Idaho,40,25.0
Montana,31,25.0
Vermont,23,25.0
Illinois,49,25.0
American Samoa,53,25.0
Minnesota,20,25.0
Wyoming,33,25.0
North Carolina,38,25.0
Kentucky,35,25.0
Kansas,53,25.0
Washington,3,25.0
Missouri,4,25.0
Arkansas,36,25.0
Iowa,22,25.0
Oregon,4,25.0
Georgia,49,25.0
Missouri,17,25.0
Guam,25,25.0
Louisiana,15,25.0
New Jersey,47,25.0
Connecticut,1,25.0
South Dakota,21,25.0
Texas,31,25.0
Guam,10,25.0
Arizona,20,25.0
California,47,25.0
Idaho,17,25.0
Montana,16,25.0
Vermont,14,25.0
Guam,7,25.0
Colorado,15,25.0
Florida,36,25.0
Louisiana,43,25.0
Guam,28,25.0
South Carolina,32,25.0
American Samoa,44,25.0
Missouri,22,25.0
North Carolina,47,25.0
Kentucky,36,25.0
Nebraska,17,25.0
Washington,24,25.0
Alaska,26,25.0
Arkansas,45,25.0
Iowa,17,25.0
Maryland,25,25.0
Oregon,15,25.0
South Carolina,48,25.0
Mississippi,52,25.0
Virgin Islands,16,25.0
Wyoming,12,25.0
Missouri,24,25.0
Nebraska,11,25.0
Louisiana,16,25.0
New Jersey,36,25.0
Rhode Island,41,25.0
Alaska,35,25.0
Texas,38,25.0
Arizona,29,25.0
California,38,25.0
Idaho,26,25.0
Montana,41,25.0
Vermont,9,25.0
New York,27,25.0
Virginia,29,25.0
Colorado,35,25.0
New Mexico,36,25.0
Florida,45,25.0
Illinois,39,25.0
Minnesota,19,25.0
American Samoa,39,25.0
North Carolina,52,25.0
New Jersey,5,25.0
Washington,17,25.0
Arkansas,22,25.0
Iowa,8,25.0
Maryland,22,25.0
Mississippi,51,25.0
Virgin Islands,27,25.0
North Dakota,50,25.0
Wyoming,19,25.0
Missouri,3,25.0
Guam,15,25.0
Massachusetts,20,25.0
Louisiana,25,25.0
New Jersey,29,25.0
Connecticut,51,25.0
Rhode Island,32,25.0
Texas,41,25.0
Arizona,6,25.0
California,33,25.0
Idaho,3,25.0
Montana,34,25.0
Vermont,0,25.0
New Mexico,45,25.0
Utah,36,25.0
Nevada,12,25.0
Illinois,46,25.0
South Carolina,46,25.0
North Dakota,25,25.0
Washington,22,25.0
Arkansas,31,25.0
Iowa,3,25.0
Maryland,15,25.0
Mississippi,10,25.0
Virgin Islands,2,25.0
Northern Mariana Islands,53,25.0
Wyoming,26,25.0
Missouri,10,25.0
Alaska,50,25.0
Virginia,12,25.0
New Jersey,18,25.0
New Jersey,51,25.0
Connecticut,42,25.0
Texas,48,25.0
Arizona,15,25.0
Nebraska,28,25.0
Hawaii,18,25.0
Idaho,12,25.0
Wyoming,28,25.0
New York,11,25.0
New Mexico,18,25.0
Utah,47,25.0
District of Columbia,47,25.0
Nevada,5,25.0
Illinois,21,25.0
Minnesota,51,25.0
South Carolina,35,25.0
Kansas,48,25.0
New Hampshire,44,25.0
Washington,47,25.0
Arkansas,24,25.0
Maryland,4,25.0
New Jersey,49,25.0
Mississippi,1,25.0
Virgin Islands,5,25.0
Guam,48,25.0
Missouri,13,25.0
Virginia,19,25.0
West Virginia,51,25.0
Alaska,2,25.0
New Jersey,11,25.0
Massachusetts,31,25.0
Michigan,23,25.0
New York,5,25.0
Michigan,34,25.0
Oklahoma,29,25.0
Arizona,48,25.0
District of Columbia,21,25.0
Ohio,24,25.0
New Jersey,20,25.0
New Mexico,27,25.0
District of Columbia,36,25.0
Nevada,26,25.0
Illinois,28,25.0
New York,48,25.0
Oklahoma,11,25.0
North Carolina,3,25.0
Kansas,41,25.0
Maine,51,25.0
Virginia,51,25.0
North Dakota,1,25.0
West Virginia,19,25.0
Washington,36,25.0
Alaska,7,25.0
Arkansas,1,25.0
Iowa,53,25.0
Mississippi,24,25.0
Virgin Islands,12,25.0
Northern Mariana Islands,35,25.0
Guam,36,25.0
Virginia,26,25.0
West Virginia,52,25.0
New Jersey,0,25.0
Georgia,39,25.0
North Dakota,36,25.0
Rhode Island,13,25.0
Michigan,45,25.0
Montana,53,25.0
Vermont,45,25.0
New Mexico,0,25.0
Florida,1,25.0
Nevada,19,25.0
Illinois,27,25.0
South Carolina,5,25.0
Oklahoma,2,25.0
Ohio,29,25.0
Wyoming,40,25.0
North Carolina,8,25.0
North Dakota,12,25.0
Michigan,2,25.0
New Hampshire,34,25.0
Arkansas,10,25.0
Iowa,44,25.0
Indiana,30,25.0
Mississippi,23,25.0
Northern Mariana Islands,42,25.0
Alabama,49,25.0
Delaware,9,25.0
Nebraska,40,25.0
Missouri,52,25.0
Virginia,33,25.0
West Virginia,45,25.0
Rhode Island,4,25.0
Michigan,52,25.0
Arizona,34,25.0
Vermont,36,25.0
New Mexico,5,25.0
Wisconsin,27,25.0
New Mexico,9,25.0
Florida,10,25.0
Utah,0,25.0
Illinois,2,25.0
South Carolina,10,25.0
Minnesota,38,25.0
Ohio,20,25.0
North Carolina,17,25.0
North Dakota,5,25.0
Maine,37,25.0
North Dakota,32,25.0
Guam,1,25.0
Washington,50,25.0
Iowa,39,25.0
Maryland,51,25.0
Indiana,21,25.0
Northern Mariana Islands,17,25.0
South Dakota,43,25.0
Oklahoma,14,25.0
Delaware,2,25.0
Nebraska,33,25.0
Virginia,40,25.0
West Virginia,38,25.0
Rhode Island,3,25.0
Nebraska,37,25.0
Pennsylvania,42,25.0
Arizona,43,25.0
Kentucky,26,25.0
New York,16,25.0
Virginia,36,25.0
North Dakota,16,25.0
New Mexico,14,25.0
Florida,19,25.0
Utah,11,25.0
District of Columbia,51,25.0
Illinois,9,25.0
South Carolina,19,25.0
Minnesota,47,25.0
Ohio,15,25.0
North Carolina,30,25.0
Ohio,2,25.0
Kansas,28,25.0
Maine,44,25.0
Maryland,40,25.0
Indiana,12,25.0
Virgin Islands,33,25.0
Northern Mariana Islands,24,25.0
South Dakota,44,25.0
Delaware,27,25.0
Virginia,47,25.0
West Virginia,31,25.0
Hawaii,21,25.0
Rhode Island,26,25.0
Michigan,6,25.0
Arizona,44,25.0
Kentucky,19,25.0
Wisconsin,9,25.0
Michigan,51,25.0
Florida,28,25.0
Utah,18,25.0
District of Columbia,8,25.0
South Carolina,24,25.0
Oklahoma,47,25.0
Ohio,6,25.0
Alaska,18,25.0
Oregon,52,25.0
Kansas,21,25.0
Maine,23,25.0
Alabama,9,25.0
Maryland,33,25.0
Indiana,3,25.0
Virgin Islands,40,25.0
Northern Mariana Islands,31,25.0
Michigan,28,25.0
South Dakota,37,25.0
Delaware,28,25.0
California,31,25.0
Massachusetts,39,25.0
West Virginia,16,25.0
Rhode Island,17,25.0
Michigan,1,25.0
American Samoa,28,25.0
Hawaii,27,25.0
Kentucky,20,25.0
Wisconsin,0,25.0
Utah,21,25.0
District of Columbia,1,25.0
Massachusetts,14,25.0
Oklahoma,38,25.0
Ohio,1,25.0
New York,36,25.0
Kansas,10,25.0
Maine,30,25.0
Alabama,14,25.0
Missouri,6,25.0
Louisiana,32,25.0
Northern Mariana Islands,6,25.0
Delaware,21,25.0
California,22,25.0
Massachusetts,44,25.0
West Virginia,9,25.0
New York,3,25.0
Colorado,27,25.0
Massachusetts,4,25.0
Colorado,22,25.0
Michigan,8,25.0
Connecticut,6,25.0
American Samoa,23,25.0
Kentucky,13,25.0
Tennessee,28,25.0
Wisconsin,7,25.0
Guam,18,25.0
Utah,28,25.0
District of Columbia,30,25.0
Minnesota,2,25.0
Oregon,38,25.0
Kansas,3,25.0
Maine,25,25.0
Colorado,6,25.0
Wyoming,35,25.0
Missouri,51,25.0
Minnesota,14,25.0
Louisiana,41,25.0
Indiana,49,25.0
Northern Mariana Islands,13,25.0
Delaware,46,25.0
California,17,25.0
Idaho,51,25.0
West Virginia,2,25.0
Pennsylvania,53,25.0
Michigan,19,25.0
American Samoa,14,25.0
Kentucky,6,25.0
District of Columbia,23,25.0
Alabama,19,25.0
Minnesota,11,25.0
Ohio,51,25.0
Wyoming,47,25.0
Oregon,33,25.0
California,52,25.0
Maine,0,25.0
Alabama,28,25.0
Wyoming,42,25.0
Hawaii,15,25.0
Louisiana,50,25.0
Indiana,40,25.0
Connecticut,26,25.0
South Dakota,8,25.0
Texas,0,25.0
Delaware,39,25.0
California,8,25.0
Montana,11,25.0
Michigan,26,25.0
American Samoa,1,25.0
Wisconsin,53,25.0
New Hampshire,28,25.0
Oklahoma,51,25.0
Hawaii,53,25.0
Oregon,40,25.0
Tennessee,40,25.0
Maine,11,25.0
Alabama,21,25.0
Georgia,5,25.0
Alaska,12,25.0
Hawaii,8,25.0
Tennessee,42,25.0
Indiana,47,25.0
Massachusetts,23,25.0
Connecticut,21,25.0
South Dakota,1,25.0
Texas,11,25.0
California,3,25.0
Idaho,37,25.0
Montana,12,25.0
New York,10,25.0
New Jersey,28,25.0
Nevada,42,25.0
Kentucky,48,25.0
Kansas,43,25.0
New Hampshire,21,25.0
Oklahoma,34,25.0
Arkansas,49,25.0
Ohio,37,25.0
Oregon,19,25.0
Mississippi,40,25.0
Alabama,42,25.0
Georgia,12,25.0
Hawaii,17,25.0
Alaska,16,25.0
New Jersey,48,25.0
Indiana,38,25.0
Connecticut,12,25.0
South Dakota,26,25.0
Texas,18,25.0
Delaware,49,25.0
Idaho,46,25.0
Montana,5,25.0
Vermont,29,25.0
Michigan,9,25.0
New Mexico,48,25.0
Nevada,35,25.0
American Samoa,51,25.0
Georgia,20,25.0
Kentucky,41,25.0
Wisconsin,35,25.0
New Hampshire,18,25.0
Washington,13,25.0
Iowa,28,25.0
Oregon,26,25.0
Mississippi,39,25.0
Alabama,35,25.0
Georgia,11,25.0
Hawaii,26,25.0
Alaska,23,25.0
Louisiana,5,25.0
New Jersey,41,25.0
Connecticut,7,25.0
South Dakota,19,25.0
Texas,21,25.0
Arizona,18,25.0
California,53,25.0
Idaho,23,25.0
Montana,30,25.0
Vermont,20,25.0
Georgia,37,25.0
Illinois,50,25.0
American Samoa,42,25.0
Hawaii,36,25.0
North Carolina,33,25.0
Kentucky,34,25.0
Georgia,4,25.0
New Hampshire,11,25.0
Washington,2,25.0
Arkansas,35,25.0
Iowa,23,25.0
Oregon,5,25.0
Georgia,50,25.0
Hawaii,35,25.0
Alaska,30,25.0
Louisiana,14,25.0
New Jersey,46,25.0
South Dakota,20,25.0
Alaska,34,25.0
Tennessee,23,25.0
Texas,28,25.0
Nebraska,45,25.0
Arizona,27,25.0
California,44,25.0
Idaho,16,25.0
Montana,23,25.0
Vermont,15,25.0
New York,24,25.0
Massachusetts,13,25.0
Colorado,36,25.0
Florida,35,25.0
Nevada,49,25.0
Minnesota,44,25.0
American Samoa,45,25.0
North Carolina,46,25.0
Tennessee,19,25.0
New Hampshire,0,25.0
Washington,27,25.0
Arkansas,44,25.0
Iowa,14,25.0
Maryland,24,25.0
Oregon,12,25.0
Mississippi,53,25.0
Virgin Islands,17,25.0
Kansas,17,25.0
Wyoming,13,25.0
Missouri,25,25.0
Alaska,5,25.0
Louisiana,23,25.0
New Jersey,39,25.0
Texas,44,25.0
Rhode Island,42,25.0
Texas,39,25.0
Arizona,28,25.0
California,39,25.0
Idaho,25,25.0
Montana,40,25.0
Vermont,6,25.0
California,48,25.0
New Mexico,39,25.0
Florida,44,25.0
Utah,34,25.0
Illinois,32,25.0
South Carolina,40,25.0
American Samoa,36,25.0
Washington,16,25.0
Arkansas,21,25.0
Iowa,9,25.0
Maryland,17,25.0
Mississippi,12,25.0
Virgin Islands,24,25.0
Wyoming,20,25.0
Missouri,0,25.0
Guam,8,25.0
Virginia,6,25.0
Louisiana,24,25.0
Tennessee,13,25.0
Connecticut,48,25.0
Rhode Island,33,25.0
Texas,46,25.0
Arizona,5,25.0
Hawaii,19,25.0
Idaho,2,25.0
Montana,33,25.0
Vermont,1,25.0
New Mexico,44,25.0
Florida,53,25.0
Utah,37,25.0
Nevada,15,25.0
Illinois,47,25.0
South Carolina,49,25.0
New York,44,25.0
North Dakota,24,25.0
Washington,41,25.0
Arkansas,30,25.0
Iowa,0,25.0
Maryland,14,25.0
Mississippi,11,25.0
Virgin Islands,3,25.0
Wyoming,27,25.0
Missouri,11,25.0
Alaska,51,25.0
Massachusetts,28,25.0
Tennessee,4,25.0
Virginia,13,25.0
Connecticut,43,25.0
Texas,49,25.0
Oklahoma,28,25.0
Arizona,14,25.0
Idaho,11,25.0
New Jersey,21,25.0
New Mexico,21,25.0
Utah,44,25.0
District of Columbia,46,25.0
Nevada,4,25.0
Illinois,22,25.0
Oklahoma,13,25.0
North Carolina,5,25.0
Kansas,51,25.0
Massachusetts,35,25.0
North Dakota,2,25.0
New Hampshire,47,25.0
Washington,46,25.0
Arkansas,7,25.0
Maryland,7,25.0
Mississippi,2,25.0
Virgin Islands,10,25.0
Nebraska,53,25.0
Massachusetts,5,25.0
West Virginia,50,25.0
Guam,47,25.0
Tennessee,27,25.0
Connecticut,34,25.0
Michigan,35,25.0
Colorado,29,25.0
Montana,51,25.0
Vermont,51,25.0
Alaska,45,25.0
New Mexico,26,25.0
Florida,7,25.0
District of Columbia,39,25.0
Nevada,29,25.0
Illinois,29,25.0
New York,51,25.0
Oklahoma,4,25.0
Northern Mariana Islands,10,25.0
Georgia,19,25.0
North Carolina,2,25.0
Kansas,40,25.0
Maine,48,25.0
Michigan,5,25.0
New Hampshire,36,25.0
Washington,39,25.0
Colorado,41,25.0
Arkansas,0,25.0
Iowa,50,25.0
Indiana,24,25.0
Mississippi,25,25.0
Virgin Islands,13,25.0
Northern Mariana Islands,36,25.0
Nebraska,46,25.0
Massachusetts,10,25.0
West Virginia,43,25.0
Tennessee,18,25.0
Rhode Island,14,25.0
Michigan,42,25.0
Montana,52,25.0
Vermont,42,25.0
New Mexico,3,25.0
Florida,0,25.0
Louisiana,45,25.0
Nevada,18,25.0
Illinois,4,25.0
South Carolina,4,25.0
Oklahoma,3,25.0
Ohio,26,25.0
North Carolina,11,25.0
Kansas,33,25.0
Alaska,4,25.0
Arkansas,9,25.0
Iowa,45,25.0
Maryland,53,25.0
Indiana,31,25.0
Mississippi,16,25.0
Virgin Islands,52,25.0
Northern Mariana Islands,43,25.0
Minnesota,50,25.0
Delaware,8,25.0
Guam,44,25.0
Massachusetts,51,25.0
West Virginia,44,25.0
Tennessee,53,25.0
Maryland,27,25.0
Rhode Island,5,25.0
Alaska,41,25.0
Pennsylvania,32,25.0
Arizona,33,25.0
Vermont,37,25.0
New York,17,25.0
Massachusetts,50,25.0
Wisconsin,28,25.0
New Mexico,8,25.0
Florida,9,25.0
Utah,1,25.0
District of Columbia,53,25.0
Illinois,3,25.0
South Carolina,13,25.0
Minnesota,37,25.0
Ohio,21,25.0
North Carolina,16,25.0
Kansas,38,25.0
Maine,34,25.0
Washington,53,25.0
Iowa,36,25.0
Maryland,50,25.0
Indiana,22,25.0
Northern Mariana Islands,18,25.0
South Dakota,42,25.0
Delaware,1,25.0
Nebraska,32,25.0
Virginia,41,25.0
West Virginia,37,25.0
Rhode Island,28,25.0
Pennsylvania,41,25.0
Arizona,42,25.0
Kentucky,25,25.0
Wisconsin,19,25.0
Michigan,50,25.0
Florida,18,25.0
Utah,8,25.0
District of Columbia,50,25.0
Illinois,10,25.0
South Carolina,18,25.0
Oklahoma,17,25.0
Ohio,12,25.0
North Carolina,25,25.0
Kansas,31,25.0
Maine,45,25.0
Maryland,43,25.0
Indiana,13,25.0
Virgin Islands,38,25.0
Northern Mariana Islands,25,25.0
Pennsylvania,10,25.0
South Dakota,35,25.0
Delaware,26,25.0
Massachusetts,33,25.0
West Virginia,30,25.0
Rhode Island,27,25.0
Pennsylvania,18,25.0
American Samoa,26,25.0
Hawaii,28,25.0
Kentucky,18,25.0
New York,9,25.0
Wisconsin,10,25.0
Florida,27,25.0
Utah,19,25.0
District of Columbia,11,25.0
South Carolina,27,25.0
Oklahoma,40,25.0
Ohio,7,25.0
Oregon,53,25.0
South Carolina,41,25.0
Kansas,20,25.0
Maine,20,25.0
Alabama,8,25.0
Maryland,32,25.0
Indiana,4,25.0
Virgin Islands,41,25.0
Northern Mariana Islands,0,25.0
South Dakota,36,25.0
Delaware,19,25.0
California,28,25.0
Massachusetts,38,25.0
West Virginia,23,25.0
New York,0,25.0
Virginia,20,25.0
Georgia,46,25.0
Rhode Island,18,25.0
Pennsylvania,27,25.0
Oklahoma,42,25.0
Oklahoma,27,25.0
American Samoa,29,25.0
Kentucky,11,25.0
New Jersey,10,25.0
Georgia,48,25.0
Utah,26,25.0
District of Columbia,0,25.0
Minnesota,24,25.0
Kansas,13,25.0
Maine,31,25.0
Colorado,7,25.0
Minnesota,15,25.0
Louisiana,39,25.0
Northern Mariana Islands,7,25.0
Delaware,20,25.0
California,23,25.0
Massachusetts,47,25.0
West Virginia,8,25.0
Pennsylvania,28,25.0
American Samoa,20,25.0
Kentucky,12,25.0
Utah,29,25.0
District of Columbia,25,25.0
Minnesota,1,25.0
Georgia,26,25.0
Oregon,39,25.0
Kansas,2,25.0
Maine,6,25.0
Guam,32,25.0
Alabama,6,25.0
Wyoming,36,25.0
Hawaii,5,25.0
Louisiana,40,25.0
Indiana,50,25.0
Northern Mariana Islands,14,25.0
Delaware,45,25.0
California,14,25.0
Idaho,50,25.0
West Virginia,1,25.0
Michigan,16,25.0
American Samoa,15,25.0
Kentucky,5,25.0
District of Columbia,22,25.0
Oklahoma,53,25.0
Ohio,48,25.0
Oregon,46,25.0
Maine,1,25.0
Alabama,31,25.0
Wyoming,43,25.0
Alaska,11,25.0
Hawaii,14,25.0
Louisiana,49,25.0
Indiana,41,25.0
Virginia,5,25.0
Connecticut,27,25.0
South Dakota,15,25.0
Texas,1,25.0
Delaware,38,25.0
California,9,25.0
Montana,10,25.0
Tennessee,12,25.0
Michigan,27,25.0
American Samoa,6,25.0
North Dakota,10,25.0
New Hampshire,31,25.0
Oklahoma,33,25.0
Ohio,43,25.0
Oregon,41,25.0
Maine,8,25.0
Alabama,20,25.0
Wyoming,50,25.0
Missouri,34,25.0
Tennessee,43,25.0
Indiana,32,25.0
Connecticut,18,25.0
South Dakota,0,25.0
Texas,8,25.0
California,0,25.0
Idaho,36,25.0
Montana,3,25.0
Nebraska,4,25.0
Nevada,45,25.0
Kansas,4,25.0
Kansas,11,25.0
Wisconsin,45,25.0
New Hampshire,20,25.0
Arkansas,48,25.0
Ohio,34,25.0
Oregon,16,25.0
Mississippi,41,25.0
Alabama,45,25.0
Georgia,13,25.0
Alabama,38,25.0
Hawaii,16,25.0
Alaska,17,25.0
Louisiana,3,25.0
Tennessee,34,25.0
Indiana,39,25.0
Connecticut,13,25.0
South Dakota,25,25.0
Texas,19,25.0
Alabama,2,25.0
Delaware,48,25.0
Idaho,45,25.0
Montana,4,25.0
Vermont,26,25.0
New Mexico,51,25.0
Colorado,20,25.0
Nevada,34,25.0
Illinois,52,25.0
Colorado,31,25.0
American Samoa,48,25.0
Hawaii,37,25.0
Kentucky,40,25.0
Colorado,10,25.0
Wisconsin,36,25.0
Alaska,32,25.0
New Hampshire,13,25.0
Washington,12,25.0
Iowa,29,25.0
Oregon,27,25.0
New York,34,25.0
Mississippi,32,25.0
Alabama,34,25.0
Wyoming,0,25.0
Colorado,43,25.0
Missouri,44,25.0
Alaska,24,25.0
Louisiana,4,25.0
New Jersey,40,25.0
Connecticut,4,25.0
South Dakota,18,25.0
Guam,37,25.0
Texas,26,25.0
Arizona,17,25.0
California,50,25.0
Idaho,22,25.0
Montana,29,25.0
Vermont,21,25.0
New York,25,25.0
Virginia,27,25.0
Colorado,37,25.0
Illinois,51,25.0
Minnesota,45,25.0
American Samoa,43,25.0
North Carolina,32,25.0
Kentucky,33,25.0
New Jersey,3,25.0
New Hampshire,10,25.0
Washington,5,25.0
Arkansas,34,25.0
Iowa,20,25.0
Oregon,2,25.0
Colorado,0,25.0
Georgia,51,25.0
Hawaii,34,25.0
Nebraska,16,25.0
Louisiana,13,25.0
Tennessee,48,25.0
Rhode Island,44,25.0
Texas,29,25.0
Arizona,26,25.0
California,45,25.0
Idaho,31,25.0
Montana,22,25.0
Vermont,12,25.0
New Mexico,33,25.0
Florida,34,25.0
Nevada,48,25.0
South Carolina,34,25.0
American Samoa,34,25.0
North Carolina,41,25.0
New Hampshire,3,25.0
Washington,26,25.0
Alabama,41,25.0
Arkansas,43,25.0
Iowa,15,25.0
Georgia,1,25.0
Oregon,13,25.0
Virgin Islands,22,25.0
Alabama,48,25.0
Wyoming,14,25.0
Hawaii,43,25.0
Guam,2,25.0
Virginia,0,25.0
Louisiana,22,25.0
New Jersey,38,25.0
Rhode Island,43,25.0
Texas,36,25.0
Arizona,3,25.0
Missouri,33,25.0
Idaho,24,25.0
Montana,47,25.0
Vermont,7,25.0
New Mexico,38,25.0
Florida,43,25.0
Utah,35,25.0
Nevada,9,25.0
Illinois,33,25.0
South Carolina,43,25.0
American Samoa,37,25.0
New York,45,25.0
Colorado,17,25.0
Washington,19,25.0
Arkansas,20,25.0
Iowa,6,25.0
Maryland,16,25.0
Mississippi,13,25.0
Virgin Islands,25,25.0
Northern Mariana Islands,48,25.0
Wyoming,21,25.0
Hawaii,52,25.0
Nebraska,2,25.0
Virginia,7,25.0
Louisiana,31,25.0
New Jersey,31,25.0
Massachusetts,29,25.0
New York,35,25.0
Connecticut,49,25.0
Rhode Island,34,25.0
Texas,47,25.0
Arizona,4,25.0
Idaho,1,25.0
Montana,32,25.0
Tennessee,3,25.0
New Mexico,47,25.0
Florida,52,25.0
Utah,42,25.0
Nevada,14,25.0
Illinois,40,25.0
Michigan,13,25.0
New York,15,25.0
North Dakota,31,25.0
Virginia,49,25.0
North Dakota,3,25.0
New Hampshire,49,25.0
Washington,40,25.0
New York,33,25.0
Arkansas,29,25.0
Iowa,1,25.0
Maryland,9,25.0
Mississippi,4,25.0
Virgin Islands,0,25.0
Georgia,40,25.0
Missouri,8,25.0
Alaska,52,25.0
Virginia,14,25.0
Tennessee,5,25.0
Connecticut,40,25.0
Arizona,13,25.0
Idaho,10,25.0
Georgia,44,25.0
New Mexico,20,25.0
Utah,45,25.0
District of Columbia,41,25.0
Nevada,7,25.0
Illinois,23,25.0
New York,53,25.0
Minnesota,49,25.0
Wyoming,38,25.0
North Carolina,4,25.0
Kansas,50,25.0
Pennsylvania,17,25.0
New Hampshire,46,25.0
Washington,33,25.0
Arkansas,6,25.0
Maryland,6,25.0
Mississippi,3,25.0
Virgin Islands,11,25.0
Nebraska,52,25.0
Virginia,21,25.0
West Virginia,49,25.0
New Jersey,13,25.0
Connecticut,35,25.0
Rhode Island,48,25.0
Michigan,32,25.0
Montana,50,25.0
Vermont,48,25.0
New Mexico,29,25.0
Florida,6,25.0
Utah,52,25.0
District of Columbia,38,25.0
Nevada,28,25.0
Illinois,30,25.0
New York,50,25.0
Oklahoma,5,25.0
Hawaii,46,25.0
North Carolina,13,25.0
North Dakota,9,25.0
Maine,49,25.0
New Hampshire,39,25.0
Washington,38,25.0
Arkansas,15,25.0
Iowa,51,25.0
Indiana,25,25.0
Mississippi,26,25.0
Virgin Islands,50,25.0
Northern Mariana Islands,37,25.0
Louisiana,17,25.0
Oklahoma,12,25.0
Guam,38,25.0
Virginia,28,25.0
West Virginia,42,25.0
New Jersey,2,25.0
Tennessee,52,25.0
Rhode Island,15,25.0
Alaska,40,25.0
Michigan,43,25.0
Vermont,43,25.0
New York,22,25.0
Virginia,34,25.0
North Dakota,18,25.0
New Mexico,2,25.0
Florida,15,25.0
Nevada,21,25.0
Illinois,5,25.0
South Carolina,7,25.0
Minnesota,35,25.0
Ohio,27,25.0
North Carolina,10,25.0
Kansas,32,25.0
Arkansas,8,25.0
Iowa,42,25.0
Maryland,52,25.0
Indiana,16,25.0
Mississippi,17,25.0
Virgin Islands,53,25.0
Northern Mariana Islands,44,25.0
Delaware,15,25.0
Guam,45,25.0
Virginia,35,25.0
West Virginia,35,25.0
Rhode Island,6,25.0
Pennsylvania,39,25.0
Arizona,32,25.0
Vermont,34,25.0
Wisconsin,29,25.0
New Mexico,11,25.0
Florida,8,25.0
Utah,6,25.0
District of Columbia,52,25.0
Illinois,12,25.0
South Carolina,12,25.0
Minnesota,36,25.0
Ohio,18,25.0
North Carolina,19,25.0
Kansas,25,25.0
Maine,35,25.0
Washington,52,25.0
Iowa,37,25.0
Maryland,45,25.0
Indiana,23,25.0
Northern Mariana Islands,19,25.0
Pennsylvania,11,25.0
South Dakota,41,25.0
Delaware,0,25.0
Virginia,42,25.0
West Virginia,36,25.0
Rhode Island,29,25.0
Pennsylvania,40,25.0
Arizona,41,25.0
Missouri,40,25.0
Kentucky,24,25.0
Wisconsin,20,25.0
Florida,17,25.0
Utah,9,25.0
Nebraska,27,25.0
Illinois,11,25.0
South Carolina,21,25.0
Oklahoma,18,25.0
Ohio,13,25.0
North Carolina,24,25.0
New York,42,25.0
Kansas,30,25.0
Maine,42,25.0
Maryland,42,25.0
Indiana,14,25.0
Virgin Islands,39,25.0
Northern Mariana Islands,26,25.0
South Dakota,34,25.0
Delaware,25,25.0
Massachusetts,32,25.0
West Virginia,29,25.0
New York,1,25.0
Massachusetts,2,25.0
Rhode Island,20,25.0
Michigan,4,25.0
Oklahoma,26,25.0
American Samoa,27,25.0
Kentucky,17,25.0
Tennessee,26,25.0
Wisconsin,11,25.0
Florida,26,25.0
Utah,16,25.0
District of Columbia,10,25.0
South Carolina,26,25.0
Minnesota,22,25.0
Ohio,4,25.0
Colorado,12,25.0
Oregon,50,25.0
Kansas,23,25.0
Maine,21,25.0
North Dakota,4,25.0
Alaska,28,25.0
Connecticut,37,25.0
Colorado,50,25.0
Maryland,35,25.0
Indiana,5,25.0
Colorado,45,25.0
Virgin Islands,46,25.0
Northern Mariana Islands,1,25.0
Alaska,29,25.0
Delaware,18,25.0
California,29,25.0
Massachusetts,41,25.0
West Virginia,22,25.0
Rhode Island,19,25.0
Montana,25,25.0
Pennsylvania,26,25.0
American Samoa,18,25.0
Kentucky,10,25.0
Wisconsin,2,25.0
Utah,27,25.0
District of Columbia,3,25.0
Minnesota,31,25.0
Georgia,25,25.0
Kansas,12,25.0
Maine,28,25.0
Alabama,0,25.0
Michigan,15,25.0
Vermont,50,25.0
Louisiana,38,25.0
Northern Mariana Islands,8,25.0
Guam,17,25.0
Delaware,43,25.0
California,20,25.0
Massachusetts,46,25.0
Georgia,38,25.0
Pennsylvania,3,25.0
American Samoa,21,25.0
